seq,category,week,slot,role,tone,tone_label,intent,angle,title_seed
1,디지털스마일치과,1,1,pillar,1,전문적이고 신뢰감 있는,overview,총정리,디지털스마일치과 완벽 가이드 — DSD 원리·종류·비용·관리까지 한눈에
2,디지털스마일치과,1,2,spoke,2,친근하고 대화체의,pain-point,환자고민,"앞니가 자꾸 신경 쓰여 웃기 어려운 분께 — DSD로 해결하는 법"
3,디지털스마일치과,1,3,spoke,4,간결하고 명확한,howto,체크리스트,DSD 받기 전 꼭 확인하는 7가지 체크리스트
4,디지털스마일치과,1,4,spoke,8,비교분석 중심의,compare,A vs B,DSD vs 전통 보철 — 무엇이 다르고 누구에게 맞나
5,디지털스마일치과,1,5,spoke,3,설득력 있고 강렬한,urgency,방치위험,DSD 미루면 어떻게 될까 — 시간이 지날수록 비싸지는 이유
6,디지털스마일치과,1,6,spoke,5,스토리텔링 중심의,case-deep,환자케이스,"[케이스] 30대 여성이 DSD 후 면접 자신감 회복한 이야기"
7,디지털스마일치과,1,7,spoke,7,교육적이고 강의형의,theory,원리이해,DSD의 원리 — 디지털 스캔·CAD/CAM이 만드는 미소의 과학
8,디지털스마일치과,1,8,spoke,6,뉴스/저널리즘 스타일의,trend,최신트렌드,2026년 DSD 최신 트렌드 — AI 시뮬레이션이 바꾸는 5가지
9,디지털스마일치과,1,9,spoke,9,사례연구 중심의,roi,투자가치,DSD 비용 대비 가치 — 5년 후 실제 만족도 분석
10,디지털스마일치과,1,10,spoke,10,감성적이고 공감하는,critique,오해해소,DSD 흔한 오해 5가지 — 환자 입장에서 본 진실
11,디지털스마일치과,1,11,spoke,2,친근하고 대화체의,pain-point,일상불편,웃을 때마다 손으로 가리는 습관 — DSD가 바꿔주는 일상
12,디지털스마일치과,1,12,spoke,4,간결하고 명확한,howto,진료절차,DSD 첫 방문부터 완성까지 — 단계별 진료 흐름 정리
13,디지털스마일치과,1,13,spoke,8,비교분석 중심의,compare,재료비교,DSD에 쓰이는 지르코니아·세라믹·이맥스 — 차이와 선택 기준
14,디지털스마일치과,1,14,spoke,3,설득력 있고 강렬한,urgency,골든타임,DSD는 언제 받는 게 좋을까 — 미루면 손해 보는 골든타임
15,디지털스마일치과,1,15,spoke,5,스토리텔링 중심의,case-deep,환자여정,"[케이스] 결혼 앞둔 신부의 6주 DSD 여정 — 사진으로 본 변화"
16,디지털스마일치과,1,16,spoke,7,교육적이고 강의형의,theory,스마일라인,스마일 라인의 황금비율 — 입꼬리·잇몸·치아의 공식
17,디지털스마일치과,1,17,spoke,6,뉴스/저널리즘 스타일의,trend,기술동향,3D 프린팅 임시 보철 — DSD가 빨라진 진짜 이유
18,디지털스마일치과,1,18,spoke,9,사례연구 중심의,roi,비용분석,DSD 패키지 비용 구조 — 스캔·디자인·시술·관리비 분해
19,디지털스마일치과,1,19,spoke,10,감성적이고 공감하는,critique,후회사례,DSD 후회하는 분들의 공통점 3가지 — 미리 피하는 법
20,디지털스마일치과,1,20,spoke,2,친근하고 대화체의,pain-point,초조함,"DSD 받고 싶은데 망설여지는 이유 — 두려움 줄이는 법"
21,디지털스마일치과,1,21,spoke,4,간결하고 명확한,howto,사전준비,DSD 상담 가기 전 준비할 것 — 사진·예산·요청사항
22,디지털스마일치과,1,22,spoke,8,비교분석 중심의,compare,설계방식,2D 사진 진단 vs 3D 디지털 DSD — 결과가 다른 이유
23,디지털스마일치과,1,23,spoke,5,스토리텔링 중심의,case-deep,중년재출발,"[케이스] 50대 남성의 DSD — 비즈니스 자신감을 되찾다"
24,디지털스마일치과,1,24,spoke,7,교육적이고 강의형의,theory,심미기준,심미치과의 4대 평가 기준 — 색·형태·배열·잇몸
25,디지털스마일치과,1,25,spoke,6,뉴스/저널리즘 스타일의,trend,글로벌사례,DSD 창시자 Christian Coachman이 말하는 미래 5년
26,디지털스마일치과,1,26,spoke,9,사례연구 중심의,roi,장기효과,DSD 5년·10년 후 — 유지·재시술 비율 데이터
27,디지털스마일치과,1,27,spoke,10,감성적이고 공감하는,critique,SNS왜곡,SNS DSD 사진을 그대로 믿으면 안 되는 이유
28,디지털스마일치과,1,28,spoke,2,친근하고 대화체의,pain-point,사진속얼굴,사진 속 내 미소가 어색한 이유 — DSD 진단으로 보는 원인
29,디지털스마일치과,1,29,spoke,4,간결하고 명확한,howto,상담질문,DSD 상담에서 꼭 물어봐야 할 10가지 질문
30,디지털스마일치과,1,30,spoke,8,비교분석 중심의,compare,모형방식,왁스업 모형 vs 디지털 시뮬레이션 — 정확도와 비용 비교
31,디지털스마일치과,1,31,spoke,3,설득력 있고 강렬한,urgency,즉시결정,오늘 시작해야 결혼식 전에 끝나는 DSD — 역산 일정표
32,디지털스마일치과,1,32,spoke,5,스토리텔링 중심의,case-deep,재시술,"[케이스] 다른 곳 라미네이트 실패 후 DSD로 재시술한 경험"
33,디지털스마일치과,1,33,spoke,7,교육적이고 강의형의,theory,교합관계,교합과 미소 — 보이는 미와 보이지 않는 기능의 균형
34,디지털스마일치과,1,34,spoke,6,뉴스/저널리즘 스타일의,trend,AI도입,AI 스마일 시뮬레이션 — 환자가 직접 미리 보는 시대
35,디지털스마일치과,1,35,spoke,9,사례연구 중심의,roi,직업효과,"DSD 후 직업 만족도·소득 변화 — 케이스 30건 분석"
36,디지털스마일치과,1,36,spoke,10,감성적이고 공감하는,critique,가격오해,"""너무 비싸서 못한다""는 오해 — DSD 분할·단계별 옵션"
37,디지털스마일치과,1,37,spoke,2,친근하고 대화체의,pain-point,잇몸노출,웃을 때 잇몸이 너무 많이 보여요 — Gummy Smile 해결법
38,디지털스마일치과,1,38,spoke,4,간결하고 명확한,howto,사후관리,DSD 후 평생 관리 매뉴얼 — 칫솔·식사·정기검진
